'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'0:02.289',-0.173,0.167,0.341,0.004,-0.257,0.254,-0.763,0.228,1.153,0.279,-0.097,0.208,-0.030,0.182,0.386
'0:02.290',-0.168,0.171,0.339,-0.002,-0.254,0.256,-0.765,0.228,1.145,0.280,-0.095,0.211,-0.029,0.182,0.386
'0:02.291',-0.172,0.165,0.337,0.004,-0.255,0.251,-0.766,0.231,1.145,0.281,-0.091,0.212,-0.031,0.174,0.385
'0:02.292',-0.176,0.162,0.338,0.007,-0.258,0.250,-0.764,0.231,1.143,0.281,-0.090,0.213,-0.032,0.172,0.382
'0:02.293',-0.172,0.160,0.333,0.006,-0.253,0.247,-0.762,0.232,1.141,0.281,-0.088,0.217,-0.031,0.174,0.379
'0:02.294',-0.163,0.168,0.331,-0.003,-0.247,0.249,-0.764,0.231,1.141,0.276,-0.090,0.217,-0.029,0.174,0.377
'0:02.295',-0.169,0.168,0.336,0.001,-0.253,0.252,-0.768,0.234,1.140,0.280,-0.090,0.216,-0.030,0.169,0.377
'0:02.296',-0.172,0.164,0.337,0.004,-0.255,0.251,-0.775,0.231,1.129,0.284,-0.090,0.218,-0.030,0.163,0.381
'0:02.297',-0.174,0.160,0.336,0.007,-0.255,0.248,-0.777,0.231,1.123,0.286,-0.090,0.220,-0.030,0.160,0.386
'0:02.298',-0.168,0.157,0.326,0.005,-0.247,0.241,-0.768,0.233,1.131,0.283,-0.087,0.224,-0.029,0.163,0.382
'0:02.299',-0.173,0.152,0.327,0.011,-0.251,0.239,-0.757,0.229,1.135,0.280,-0.089,0.222,-0.026,0.169,0.381
'0:02.300',-0.183,0.149,0.333,0.017,-0.259,0.241,-0.752,0.231,1.139,0.282,-0.090,0.221,-0.025,0.172,0.380
'0:02.301',-0.174,0.160,0.335,0.007,-0.255,0.247,-0.753,0.232,1.143,0.281,-0.090,0.222,-0.022,0.175,0.378
'0:02.302',-0.178,0.163,0.341,0.007,-0.260,0.252,-0.749,0.232,1.142,0.284,-0.093,0.217,-0.022,0.174,0.379
'0:02.303',-0.175,0.171,0.346,0.003,-0.261,0.259,-0.747,0.237,1.147,0.285,-0.091,0.218,-0.024,0.182,0.380
'0:02.304',-0.174,0.174,0.349,-0.001,-0.262,0.262,-0.744,0.241,1.152,0.289,-0.085,0.225,-0.025,0.191,0.379
'0:02.305',-0.174,0.178,0.352,-0.002,-0.264,0.266,-0.736,0.240,1.158,0.292,-0.085,0.223,-0.025,0.199,0.375
'0:02.306',-0.171,0.185,0.356,-0.007,-0.264,0.272,-0.729,0.238,1.168,0.290,-0.084,0.222,-0.024,0.214,0.371
'0:02.307',-0.164,0.195,0.358,-0.015,-0.261,0.277,-0.726,0.241,1.177,0.290,-0.079,0.225,-0.025,0.220,0.366
'0:02.308',-0.162,0.204,0.365,-0.021,-0.264,0.285,-0.734,0.245,1.171,0.294,-0.081,0.223,-0.027,0.220,0.369
'0:02.309',-0.162,0.214,0.377,-0.026,-0.269,0.295,-0.741,0.244,1.162,0.301,-0.080,0.223,-0.029,0.224,0.368
'0:02.310',-0.162,0.223,0.385,-0.030,-0.274,0.304,-0.742,0.248,1.163,0.307,-0.075,0.227,-0.033,0.224,0.363
'0:02.311',-0.165,0.218,0.384,-0.027,-0.274,0.301,-0.738,0.251,1.164,0.308,-0.072,0.228,-0.035,0.221,0.361
'0:02.312',-0.162,0.222,0.384,-0.030,-0.273,0.302,-0.735,0.252,1.165,0.308,-0.068,0.233,-0.035,0.228,0.357
'0:02.313',-0.156,0.229,0.385,-0.036,-0.271,0.307,-0.732,0.257,1.170,0.312,-0.061,0.239,-0.035,0.235,0.352
'0:02.314',-0.155,0.234,0.390,-0.040,-0.273,0.312,-0.730,0.258,1.171,0.314,-0.061,0.239,-0.036,0.241,0.348
'0:02.315',-0.161,0.233,0.394,-0.036,-0.278,0.314,-0.735,0.257,1.165,0.318,-0.060,0.239,-0.037,0.236,0.349
'0:02.316',-0.161,0.234,0.395,-0.037,-0.278,0.315,-0.744,0.258,1.158,0.322,-0.057,0.243,-0.040,0.229,0.350
'0:02.317',-0.165,0.232,0.397,-0.034,-0.281,0.315,-0.741,0.258,1.153,0.324,-0.057,0.243,-0.040,0.226,0.353
'0:02.318',-0.169,0.227,0.396,-0.029,-0.282,0.312,-0.727,0.259,1.155,0.324,-0.055,0.244,-0.037,0.228,0.350
'0:02.319',-0.170,0.225,0.395,-0.027,-0.283,0.310,-0.719,0.259,1.165,0.320,-0.054,0.243,-0.035,0.237,0.347
'0:02.320',-0.169,0.222,0.391,-0.026,-0.280,0.306,-0.714,0.260,1.168,0.318,-0.056,0.241,-0.035,0.236,0.346
'0:02.321',-0.161,0.230,0.391,-0.035,-0.276,0.310,-0.716,0.258,1.167,0.314,-0.056,0.241,-0.033,0.238,0.345
'0:02.322',-0.159,0.235,0.395,-0.038,-0.277,0.315,-0.716,0.258,1.169,0.312,-0.057,0.240,-0.035,0.246,0.347
'0:02.323',-0.157,0.240,0.397,-0.042,-0.277,0.319,-0.710,0.262,1.171,0.312,-0.057,0.240,-0.038,0.249,0.347
'0:02.324',-0.159,0.237,0.396,-0.039,-0.278,0.317,-0.708,0.264,1.173,0.312,-0.052,0.244,-0.038,0.249,0.347
'0:02.325',-0.153,0.241,0.395,-0.044,-0.275,0.319,-0.698,0.266,1.181,0.314,-0.050,0.246,-0.037,0.253,0.342
'0:02.326',-0.139,0.255,0.395,-0.058,-0.267,0.325,-0.694,0.268,1.192,0.310,-0.048,0.249,-0.034,0.272,0.339
'0:02.327',-0.135,0.261,0.396,-0.063,-0.266,0.329,-0.698,0.267,1.198,0.303,-0.046,0.249,-0.033,0.281,0.338
'0:02.328',-0.134,0.262,0.396,-0.064,-0.265,0.329,-0.706,0.270,1.194,0.300,-0.049,0.247,-0.036,0.265,0.341
'0:02.329',-0.135,0.262,0.397,-0.065,-0.266,0.330,-0.717,0.269,1.184,0.304,-0.050,0.248,-0.035,0.256,0.344
'0:02.330',-0.140,0.259,0.399,-0.059,-0.270,0.329,-0.713,0.271,1.178,0.308,-0.050,0.247,-0.038,0.255,0.344
'0:02.331',-0.147,0.244,0.391,-0.049,-0.269,0.318,-0.714,0.272,1.173,0.303,-0.050,0.247,-0.039,0.242,0.345
'0:02.332',-0.146,0.235,0.382,-0.044,-0.264,0.309,-0.717,0.268,1.169,0.302,-0.052,0.244,-0.038,0.234,0.345
'0:02.333',-0.138,0.239,0.378,-0.051,-0.258,0.308,-0.716,0.272,1.171,0.302,-0.051,0.246,-0.039,0.235,0.342
'0:02.334',-0.138,0.248,0.386,-0.056,-0.261,0.317,-0.718,0.272,1.173,0.302,-0.051,0.248,-0.038,0.243,0.338
'0:02.335',-0.136,0.252,0.388,-0.059,-0.262,0.320,-0.720,0.273,1.173,0.307,-0.049,0.251,-0.040,0.247,0.339
'0:02.336',-0.142,0.251,0.393,-0.054,-0.268,0.322,-0.730,0.271,1.163,0.312,-0.048,0.252,-0.041,0.239,0.341
'0:02.337',-0.155,0.246,0.401,-0.046,-0.278,0.324,-0.732,0.270,1.157,0.319,-0.049,0.251,-0.041,0.234,0.344
'0:02.338',-0.147,0.247,0.394,-0.050,-0.271,0.321,-0.720,0.273,1.165,0.317,-0.045,0.256,-0.038,0.244,0.341
'0:02.339',-0.154,0.241,0.396,-0.044,-0.275,0.319,-0.714,0.270,1.170,0.313,-0.049,0.251,-0.036,0.247,0.340
'0:02.340',-0.158,0.242,0.400,-0.043,-0.279,0.321,-0.718,0.269,1.175,0.311,-0.051,0.250,-0.036,0.251,0.344
'0:02.341',-0.151,0.253,0.404,-0.051,-0.278,0.328,-0.724,0.265,1.177,0.311,-0.051,0.252,-0.035,0.261,0.343
'0:02.342',-0.152,0.256,0.408,-0.052,-0.280,0.332,-0.728,0.263,1.176,0.312,-0.054,0.250,-0.033,0.264,0.346
'0:02.343',-0.152,0.262,0.414,-0.055,-0.283,0.339,-0.735,0.258,1.174,0.315,-0.056,0.248,-0.032,0.272,0.355
'0:02.344',-0.164,0.263,0.426,-0.050,-0.295,0.345,-0.742,0.250,1.171,0.323,-0.053,0.250,-0.029,0.281,0.353
'0:02.345',-0.162,0.273,0.435,-0.056,-0.298,0.354,-0.743,0.241,1.176,0.324,-0.049,0.254,-0.026,0.295,0.351
'0:02.346',-0.155,0.281,0.437,-0.063,-0.296,0.359,-0.748,0.228,1.179,0.320,-0.051,0.253,-0.022,0.307,0.355
'0:02.347',-0.148,0.286,0.435,-0.069,-0.292,0.361,-0.760,0.226,1.182,0.312,-0.051,0.257,-0.021,0.312,0.353
'0:02.348',-0.144,0.294,0.439,-0.075,-0.291,0.366,-0.777,0.225,1.177,0.312,-0.050,0.257,-0.022,0.308,0.360
'0:02.349',-0.141,0.300,0.441,-0.080,-0.291,0.371,-0.787,0.223,1.168,0.318,-0.047,0.258,-0.023,0.306,0.362
'0:02.350',-0.139,0.301,0.440,-0.082,-0.289,0.371,-0.789,0.224,1.165,0.312,-0.045,0.261,-0.025,0.308,0.362
'0:02.351',-0.134,0.298,0.432,-0.083,-0.283,0.365,-0.786,0.229,1.170,0.309,-0.040,0.268,-0.027,0.307,0.363
'0:02.352',-0.130,0.296,0.426,-0.084,-0.278,0.361,-0.785,0.236,1.177,0.309,-0.032,0.277,-0.028,0.306,0.359
'0:02.353',-0.135,0.288,0.422,-0.077,-0.279,0.355,-0.787,0.236,1.175,0.308,-0.031,0.276,-0.028,0.297,0.357
'0:02.354',-0.132,0.291,0.422,-0.080,-0.277,0.357,-0.789,0.234,1.173,0.305,-0.031,0.273,-0.030,0.293,0.357
'0:02.355',-0.137,0.287,0.423,-0.075,-0.280,0.356,-0.799,0.231,1.166,0.308,-0.033,0.271,-0.030,0.290,0.361
'0:02.356',-0.137,0.281,0.418,-0.072,-0.278,0.350,-0.806,0.232,1.154,0.311,-0.033,0.272,-0.032,0.282,0.362
'0:02.357',-0.136,0.283,0.419,-0.074,-0.278,0.351,-0.803,0.237,1.155,0.314,-0.027,0.277,-0.034,0.282,0.360
'0:02.358',-0.132,0.284,0.416,-0.076,-0.274,0.350,-0.796,0.234,1.161,0.311,-0.021,0.283,-0.029,0.290,0.359
'0:02.359',-0.134,0.284,0.418,-0.075,-0.277,0.351,-0.784,0.235,1.173,0.309,-0.017,0.286,-0.028,0.297,0.354
'0:02.360',-0.135,0.289,0.423,-0.077,-0.280,0.356,-0.777,0.237,1.179,0.308,-0.013,0.289,-0.028,0.311,0.350
'0:02.361',-0.122,0.303,0.426,-0.091,-0.275,0.365,-0.777,0.238,1.182,0.302,-0.015,0.290,-0.026,0.318,0.348
'0:02.362',-0.121,0.309,0.430,-0.094,-0.276,0.370,-0.775,0.243,1.188,0.303,-0.014,0.290,-0.026,0.317,0.347
'0:02.363',-0.126,0.303,0.429,-0.088,-0.278,0.366,-0.783,0.235,1.177,0.301,-0.023,0.284,-0.024,0.316,0.359
'0:02.364',-0.133,0.290,0.422,-0.079,-0.278,0.356,-0.783,0.234,1.171,0.301,-0.029,0.282,-0.022,0.307,0.367
'0:02.365',-0.123,0.285,0.408,-0.082,-0.266,0.347,-0.776,0.231,1.175,0.297,-0.029,0.284,-0.018,0.305,0.369
'0:02.366',-0.118,0.283,0.402,-0.083,-0.260,0.343,-0.774,0.228,1.181,0.291,-0.032,0.282,-0.015,0.305,0.374
'0:02.367',-0.117,0.281,0.398,-0.082,-0.257,0.340,-0.774,0.226,1.180,0.286,-0.035,0.279,-0.013,0.302,0.373
'0:02.368',-0.117,0.277,0.395,-0.080,-0.256,0.336,-0.786,0.217,1.167,0.287,-0.040,0.273,-0.016,0.295,0.380
'0:02.369',-0.119,0.281,0.400,-0.081,-0.260,0.341,-0.796,0.219,1.158,0.290,-0.038,0.275,-0.019,0.292,0.382
'0:02.370',-0.117,0.286,0.404,-0.085,-0.261,0.345,-0.795,0.225,1.158,0.293,-0.036,0.278,-0.021,0.294,0.382
'0:02.371',-0.124,0.276,0.401,-0.076,-0.263,0.339,-0.790,0.230,1.161,0.296,-0.034,0.279,-0.024,0.285,0.379
'0:02.372',-0.121,0.269,0.390,-0.074,-0.256,0.330,-0.789,0.226,1.155,0.292,-0.034,0.281,-0.021,0.278,0.378
'0:02.373',-0.111,0.268,0.379,-0.079,-0.245,0.324,-0.789,0.225,1.155,0.287,-0.029,0.286,-0.018,0.273,0.379
'0:02.374',-0.105,0.274,0.379,-0.085,-0.242,0.327,-0.791,0.226,1.157,0.283,-0.030,0.287,-0.018,0.273,0.376
'0:02.375',-0.111,0.267,0.378,-0.078,-0.244,0.322,-0.798,0.228,1.153,0.283,-0.034,0.287,-0.018,0.266,0.377
'0:02.376',-0.117,0.253,0.369,-0.069,-0.243,0.311,-0.809,0.230,1.142,0.283,-0.034,0.286,-0.021,0.249,0.381
'0:02.377',-0.123,0.244,0.367,-0.060,-0.245,0.306,-0.810,0.230,1.135,0.285,-0.038,0.284,-0.021,0.236,0.385
'0:02.378',-0.126,0.236,0.361,-0.056,-0.243,0.299,-0.796,0.230,1.143,0.281,-0.037,0.285,-0.018,0.235,0.382
'0:02.379',-0.136,0.222,0.357,-0.043,-0.246,0.290,-0.783,0.226,1.147,0.278,-0.045,0.277,-0.017,0.236,0.384
'0:02.380',-0.146,0.210,0.357,-0.033,-0.252,0.284,-0.777,0.228,1.149,0.278,-0.052,0.268,-0.018,0.229,0.388
'0:02.381',-0.144,0.205,0.349,-0.030,-0.247,0.278,-0.774,0.229,1.151,0.274,-0.059,0.261,-0.019,0.217,0.386
'0:02.382',-0.155,0.191,0.345,-0.018,-0.250,0.269,-0.772,0.229,1.148,0.275,-0.066,0.253,-0.021,0.207,0.387
'0:02.383',-0.163,0.187,0.350,-0.013,-0.257,0.269,-0.770,0.225,1.143,0.280,-0.070,0.244,-0.018,0.205,0.391
'0:02.384',-0.171,0.176,0.347,-0.003,-0.260,0.262,-0.767,0.225,1.143,0.284,-0.072,0.242,-0.019,0.203,0.393
'0:02.385',-0.172,0.167,0.340,0.003,-0.257,0.253,-0.760,0.225,1.145,0.280,-0.074,0.240,-0.019,0.195,0.391
'0:02.386',-0.167,0.164,0.332,0.002,-0.249,0.248,-0.752,0.224,1.154,0.275,-0.078,0.238,-0.017,0.193,0.387
'0:02.387',-0.161,0.166,0.327,-0.003,-0.243,0.246,-0.750,0.228,1.161,0.273,-0.078,0.237,-0.016,0.194,0.381
'0:02.388',-0.161,0.168,0.328,-0.004,-0.244,0.248,-0.761,0.228,1.154,0.276,-0.084,0.230,-0.018,0.184,0.385
'0:02.389',-0.160,0.172,0.331,-0.006,-0.245,0.252,-0.776,0.225,1.143,0.281,-0.087,0.228,-0.020,0.183,0.389
'0:02.390',-0.161,0.172,0.333,-0.005,-0.247,0.253,-0.778,0.224,1.137,0.285,-0.088,0.226,-0.021,0.176,0.390
'0:02.391',-0.171,0.159,0.330,0.006,-0.251,0.244,-0.772,0.225,1.135,0.289,-0.089,0.223,-0.023,0.165,0.391
'0:02.392',-0.166,0.157,0.323,0.004,-0.245,0.240,-0.774,0.223,1.132,0.288,-0.088,0.224,-0.022,0.168,0.388
'0:02.393',-0.165,0.155,0.320,0.004,-0.242,0.237,-0.775,0.224,1.131,0.288,-0.089,0.224,-0.022,0.166,0.388
'0:02.394',-0.165,0.159,0.325,0.003,-0.245,0.242,-0.768,0.227,1.131,0.288,-0.093,0.223,-0.023,0.166,0.387
'0:02.395',-0.177,0.152,0.330,0.013,-0.254,0.241,-0.771,0.224,1.123,0.289,-0.098,0.216,-0.025,0.156,0.389
'0:02.396',-0.178,0.148,0.327,0.015,-0.253,0.237,-0.780,0.225,1.113,0.291,-0.099,0.214,-0.028,0.146,0.390
'0:02.397',-0.172,0.151,0.324,0.010,-0.248,0.237,-0.777,0.224,1.107,0.290,-0.098,0.216,-0.028,0.147,0.393
'0:02.398',-0.179,0.143,0.323,0.018,-0.251,0.234,-0.761,0.226,1.111,0.290,-0.097,0.218,-0.026,0.143,0.389
'0:02.399',-0.178,0.135,0.314,0.021,-0.246,0.225,-0.752,0.228,1.120,0.286,-0.098,0.216,-0.024,0.143,0.387
'0:02.400',-0.176,0.132,0.308,0.022,-0.242,0.220,-0.759,0.222,1.120,0.282,-0.099,0.214,-0.021,0.147,0.389
'0:02.401',-0.170,0.139,0.309,0.015,-0.240,0.225,-0.765,0.220,1.120,0.280,-0.099,0.213,-0.020,0.150,0.390
'0:02.402',-0.169,0.142,0.311,0.013,-0.240,0.227,-0.765,0.220,1.123,0.278,-0.100,0.212,-0.021,0.150,0.392
'0:02.403',-0.169,0.144,0.314,0.013,-0.241,0.229,-0.766,0.220,1.121,0.281,-0.102,0.210,-0.021,0.152,0.394
'0:02.404',-0.175,0.135,0.310,0.020,-0.243,0.223,-0.764,0.222,1.121,0.286,-0.101,0.213,-0.021,0.146,0.396
'0:02.405',-0.174,0.131,0.305,0.021,-0.240,0.218,-0.757,0.223,1.127,0.285,-0.100,0.214,-0.020,0.144,0.393
'0:02.406',-0.166,0.136,0.302,0.015,-0.234,0.220,-0.756,0.221,1.134,0.281,-0.102,0.214,-0.016,0.157,0.391
'0:02.407',-0.169,0.135,0.304,0.017,-0.236,0.220,-0.757,0.220,1.138,0.276,-0.103,0.213,-0.015,0.156,0.389
'0:02.408',-0.165,0.139,0.304,0.013,-0.235,0.222,-0.768,0.221,1.133,0.275,-0.105,0.209,-0.017,0.147,0.394
'0:02.409',-0.159,0.144,0.303,0.007,-0.231,0.224,-0.780,0.220,1.123,0.277,-0.102,0.211,-0.018,0.147,0.396
'0:02.410',-0.168,0.139,0.306,0.015,-0.237,0.223,-0.775,0.222,1.119,0.281,-0.102,0.211,-0.021,0.140,0.395
'0:02.411',-0.173,0.127,0.301,0.023,-0.237,0.214,-0.770,0.225,1.120,0.282,-0.098,0.216,-0.021,0.133,0.394
'0:02.412',-0.175,0.120,0.296,0.027,-0.236,0.208,-0.768,0.226,1.120,0.280,-0.095,0.219,-0.021,0.131,0.392
'0:02.413',-0.169,0.121,0.290,0.024,-0.230,0.206,-0.764,0.228,1.121,0.281,-0.094,0.219,-0.024,0.130,0.389
'0:02.414',-0.156,0.130,0.285,0.013,-0.221,0.208,-0.764,0.230,1.122,0.279,-0.093,0.220,-0.022,0.133,0.387
'0:02.415',-0.163,0.124,0.287,0.019,-0.226,0.206,-0.771,0.226,1.113,0.279,-0.096,0.216,-0.024,0.121,0.389
'0:02.416',-0.170,0.117,0.287,0.026,-0.229,0.203,-0.780,0.227,1.106,0.281,-0.093,0.215,-0.028,0.114,0.390
'0:02.417',-0.173,0.114,0.287,0.030,-0.231,0.201,-0.779,0.232,1.103,0.282,-0.093,0.216,-0.027,0.114,0.393
'0:02.418',-0.173,0.110,0.283,0.032,-0.229,0.197,-0.770,0.227,1.108,0.279,-0.093,0.218,-0.024,0.114,0.389
'0:02.419',-0.176,0.103,0.281,0.036,-0.229,0.193,-0.757,0.229,1.115,0.273,-0.095,0.217,-0.022,0.117,0.387
'0:02.420',-0.173,0.102,0.277,0.035,-0.225,0.190,-0.755,0.233,1.121,0.270,-0.093,0.218,-0.023,0.124,0.387
'0:02.421',-0.175,0.106,0.281,0.035,-0.229,0.194,-0.763,0.227,1.120,0.269,-0.100,0.215,-0.022,0.124,0.388
'0:02.422',-0.179,0.105,0.285,0.037,-0.233,0.196,-0.763,0.225,1.115,0.268,-0.105,0.210,-0.021,0.122,0.393
'0:02.423',-0.176,0.111,0.287,0.033,-0.232,0.200,-0.762,0.227,1.118,0.268,-0.104,0.210,-0.019,0.130,0.394
'0:02.424',-0.188,0.104,0.292,0.042,-0.240,0.199,-0.761,0.230,1.119,0.270,-0.104,0.212,-0.020,0.127,0.396
'0:02.425',-0.183,0.104,0.288,0.040,-0.236,0.196,-0.755,0.230,1.125,0.268,-0.102,0.213,-0.019,0.131,0.394
'0:02.426',-0.177,0.107,0.285,0.035,-0.232,0.197,-0.752,0.224,1.129,0.265,-0.106,0.210,-0.014,0.141,0.394
'0:02.427',-0.174,0.110,0.284,0.033,-0.230,0.197,-0.753,0.221,1.131,0.262,-0.110,0.206,-0.015,0.144,0.391
'0:02.428',-0.173,0.114,0.287,0.030,-0.231,0.201,-0.760,0.222,1.126,0.265,-0.114,0.202,-0.018,0.136,0.392
'0:02.429',-0.179,0.117,0.296,0.032,-0.238,0.206,-0.772,0.222,1.116,0.274,-0.114,0.203,-0.018,0.128,0.392
'0:02.430',-0.179,0.118,0.297,0.030,-0.238,0.208,-0.774,0.223,1.113,0.277,-0.112,0.203,-0.021,0.128,0.391
'0:02.431',-0.185,0.108,0.293,0.038,-0.239,0.201,-0.769,0.223,1.108,0.281,-0.114,0.200,-0.021,0.119,0.392
'0:02.432',-0.182,0.107,0.289,0.037,-0.235,0.198,-0.768,0.224,1.110,0.283,-0.110,0.203,-0.023,0.126,0.386
'0:02.433',-0.182,0.103,0.286,0.040,-0.234,0.195,-0.768,0.226,1.112,0.282,-0.108,0.204,-0.025,0.123,0.383
'0:02.434',-0.182,0.108,0.291,0.037,-0.236,0.200,-0.764,0.225,1.109,0.280,-0.111,0.202,-0.023,0.120,0.382
'0:02.435',-0.181,0.111,0.292,0.035,-0.236,0.202,-0.766,0.226,1.107,0.283,-0.110,0.202,-0.024,0.121,0.383
'0:02.436',-0.185,0.103,0.289,0.041,-0.237,0.197,-0.776,0.228,1.100,0.287,-0.108,0.202,-0.029,0.108,0.385
'0:02.437',-0.184,0.104,0.289,0.040,-0.237,0.198,-0.773,0.237,1.101,0.292,-0.104,0.204,-0.032,0.105,0.386
'0:02.438',-0.179,0.104,0.283,0.037,-0.232,0.194,-0.763,0.235,1.105,0.289,-0.102,0.208,-0.029,0.105,0.382
'0:02.439',-0.179,0.098,0.278,0.041,-0.229,0.188,-0.753,0.227,1.111,0.283,-0.102,0.206,-0.025,0.109,0.381
'0:02.440',-0.182,0.095,0.278,0.043,-0.230,0.186,-0.750,0.230,1.119,0.283,-0.103,0.204,-0.027,0.108,0.380
'0:02.441',-0.179,0.099,0.279,0.041,-0.230,0.189,-0.759,0.231,1.119,0.280,-0.105,0.203,-0.026,0.109,0.379
'0:02.442',-0.182,0.101,0.283,0.041,-0.233,0.193,-0.758,0.232,1.120,0.281,-0.107,0.202,-0.026,0.117,0.380
'0:02.443',-0.179,0.104,0.284,0.037,-0.232,0.195,-0.756,0.235,1.125,0.280,-0.106,0.200,-0.030,0.118,0.381
'0:02.444',-0.188,0.098,0.286,0.045,-0.237,0.192,-0.759,0.234,1.125,0.281,-0.105,0.201,-0.029,0.119,0.383
'0:02.445',-0.186,0.100,0.286,0.043,-0.237,0.194,-0.751,0.234,1.127,0.281,-0.105,0.200,-0.029,0.118,0.381
'0:02.446',-0.178,0.105,0.284,0.036,-0.232,0.195,-0.746,0.234,1.137,0.277,-0.106,0.199,-0.026,0.122,0.380
'0:02.447',-0.172,0.110,0.283,0.032,-0.228,0.197,-0.743,0.233,1.142,0.272,-0.105,0.199,-0.024,0.131,0.377
'0:02.448',-0.172,0.113,0.285,0.030,-0.229,0.199,-0.750,0.231,1.135,0.274,-0.108,0.195,-0.028,0.125,0.381
'0:02.449',-0.172,0.117,0.289,0.027,-0.231,0.204,-0.762,0.231,1.127,0.278,-0.109,0.196,-0.030,0.119,0.383
'0:02.450',-0.167,0.123,0.290,0.021,-0.229,0.207,-0.757,0.235,1.127,0.278,-0.105,0.200,-0.029,0.119,0.383
'0:02.451',-0.176,0.116,0.292,0.030,-0.234,0.204,-0.754,0.236,1.125,0.282,-0.105,0.201,-0.029,0.118,0.384
'0:02.452',-0.170,0.116,0.287,0.027,-0.229,0.202,-0.755,0.234,1.125,0.280,-0.104,0.202,-0.029,0.116,0.384
'0:02.453',-0.163,0.117,0.280,0.023,-0.222,0.199,-0.757,0.235,1.126,0.277,-0.102,0.205,-0.027,0.117,0.382
'0:02.454',-0.158,0.126,0.283,0.016,-0.221,0.204,-0.759,0.232,1.123,0.276,-0.105,0.203,-0.028,0.123,0.379
'0:02.455',-0.165,0.123,0.288,0.021,-0.227,0.205,-0.764,0.232,1.117,0.278,-0.107,0.199,-0.030,0.117,0.380
'0:02.456',-0.176,0.115,0.292,0.030,-0.234,0.204,-0.770,0.232,1.107,0.282,-0.107,0.199,-0.034,0.106,0.381
'0:02.457',-0.176,0.116,0.293,0.030,-0.235,0.204,-0.766,0.230,1.103,0.286,-0.106,0.202,-0.034,0.102,0.384
'0:02.458',-0.175,0.114,0.289,0.031,-0.233,0.202,-0.755,0.232,1.109,0.283,-0.104,0.203,-0.033,0.105,0.380
'0:02.459',-0.176,0.108,0.285,0.034,-0.231,0.197,-0.745,0.232,1.118,0.279,-0.105,0.202,-0.031,0.110,0.378
'0:02.460',-0.176,0.104,0.281,0.036,-0.229,0.193,-0.743,0.230,1.121,0.276,-0.107,0.203,-0.029,0.114,0.379
'0:02.461',-0.173,0.112,0.286,0.030,-0.230,0.200,-0.744,0.234,1.127,0.276,-0.106,0.202,-0.031,0.118,0.378
'0:02.462',-0.173,0.115,0.288,0.029,-0.231,0.202,-0.746,0.233,1.128,0.276,-0.106,0.200,-0.032,0.117,0.379
'0:02.463',-0.180,0.112,0.292,0.034,-0.236,0.202,-0.749,0.231,1.126,0.279,-0.107,0.197,-0.032,0.114,0.382
'0:02.464',-0.189,0.101,0.290,0.044,-0.240,0.196,-0.750,0.233,1.128,0.281,-0.105,0.198,-0.033,0.110,0.384
'0:02.465',-0.185,0.101,0.287,0.042,-0.236,0.194,-0.746,0.232,1.131,0.276,-0.106,0.200,-0.031,0.115,0.382
'0:02.466',-0.176,0.112,0.288,0.033,-0.233,0.200,-0.736,0.234,1.145,0.273,-0.104,0.201,-0.030,0.129,0.378
'0:02.467',-0.173,0.112,0.286,0.030,-0.230,0.200,-0.736,0.234,1.149,0.270,-0.102,0.200,-0.030,0.128,0.374
'0:02.468',-0.172,0.116,0.288,0.028,-0.230,0.202,-0.747,0.231,1.139,0.271,-0.105,0.196,-0.032,0.123,0.380
'0:02.469',-0.165,0.124,0.290,0.020,-0.228,0.207,-0.759,0.233,1.132,0.274,-0.103,0.199,-0.034,0.121,0.381
'0:02.470',-0.166,0.125,0.291,0.021,-0.229,0.208,-0.758,0.238,1.129,0.277,-0.102,0.200,-0.035,0.127,0.379
'0:02.471',-0.170,0.116,0.285,0.027,-0.228,0.201,-0.753,0.241,1.127,0.276,-0.101,0.201,-0.037,0.119,0.381
'0:02.472',-0.170,0.112,0.282,0.029,-0.226,0.197,-0.752,0.238,1.124,0.276,-0.100,0.203,-0.036,0.110,0.380
'0:02.473',-0.164,0.113,0.277,0.025,-0.221,0.195,-0.746,0.243,1.127,0.275,-0.097,0.208,-0.036,0.112,0.376
'0:02.474',-0.158,0.114,0.272,0.021,-0.214,0.193,-0.749,0.243,1.129,0.270,-0.098,0.206,-0.037,0.108,0.374
'0:02.475',-0.167,0.106,0.274,0.030,-0.220,0.190,-0.752,0.245,1.126,0.275,-0.099,0.204,-0.038,0.104,0.374
'0:02.476',-0.171,0.098,0.270,0.036,-0.221,0.184,-0.753,0.254,1.121,0.277,-0.102,0.200,-0.043,0.092,0.375
'0:02.477',-0.175,0.087,0.263,0.044,-0.220,0.175,-0.750,0.259,1.117,0.281,-0.111,0.193,-0.046,0.079,0.376
'0:02.478',-0.177,0.076,0.255,0.051,-0.216,0.166,-0.728,0.267,1.128,0.280,-0.111,0.193,-0.046,0.077,0.370
'0:02.479',-0.179,0.063,0.243,0.058,-0.211,0.153,-0.705,0.280,1.141,0.278,-0.118,0.185,-0.045,0.074,0.366
'0:02.480',-0.182,0.044,0.227,0.069,-0.205,0.136,-0.692,0.298,1.151,0.276,-0.133,0.172,-0.046,0.059,0.364
